paper_id,title,cluster,citations,year,pca_x,pca_y
1,HiStream: Efficient High-Resolution Video Generation via Redundancy-Eliminated Streaming,16,10,2025,0.03542420792939095,0.35052951288823747
2,Beyond Memorization: A Multi-Modal Ordinal Regression Benchmark to Expose Popularity Bias in Vision-Language Models,12,10,2025,0.23253277846497086,0.06751699691144772
3,Optimizing Decoding Paths in Masked Diffusion Models by Quantifying Uncertainty,11,10,2025,0.12808556229783538,0.216303018427434
4,Autonomous Uncertainty Quantification for Computational Point-of-care Sensors,10,10,2025,-0.25390822397786617,-0.12493797958877882
5,Streaming Video Instruction Tuning,16,10,2025,0.09863984763074302,0.2606929801947794
6,Fast SAM2 with Text-Driven Token Pruning,16,10,2025,0.02993482130652749,0.3052358078849586
7,C2LLM Technical Report: A New Frontier in Code Retrieval via Adaptive Cross-Attention Pooling,17,10,2025,0.19914400430439005,-0.004557748675157441
8,TICON: A Slide-Level Tile Contextualizer for Histopathology Representation Learning,2,10,2025,0.03873474471463353,0.04147699729527842
9,Your Reasoning Benchmark May Not Test Reasoning: Revealing Perception Bottleneck in Abstract Reasoning Benchmarks,15,10,2025,0.3975997162192712,-0.10058926670507345
10,Measuring all the noises of LLM Evals,5,10,2025,0.021747447162569232,-0.13985570836438904
11,Towards Practical Automatic Piano Reduction using BERT with Semi-supervised Learning,3,10,2025,-0.23237913583912576,-0.18426180580061827
12,Parallel Token Prediction for Language Models,2,10,2025,0.10177871261001384,0.09566941521418552
13,An Allele-Centric Pan-Graph-Matrix Representation for Scalable Pangenome Analysis,8,10,2025,-0.12769274049953339,-0.027758406017685967
14,Variationally correct operator learning: Reduced basis neural operator with a posteriori error estimation,10,10,2025,-0.2658891464705616,-0.06419927100242681
15,"Scaling Laws for Economic Productivity: Experimental Evidence in LLM-Assisted Consulting, Data Analyst, and Management Tasks",5,10,2025,0.20904982648784254,-0.2344630580060954
16,Does the Data Processing Inequality Reflect Practice? On the Utility of Low-Level Tasks,3,10,2025,-0.13103636186726772,-0.05545984398820081
17,Learning to Solve PDEs on Neural Shape Representations,10,10,2025,-0.161419967615427,-0.004934786540834611
18,A Plan Reuse Mechanism for LLM-Driven Agent,5,10,2025,0.2182823019824291,-0.24290897416643242
19,A Note on Publicly Verifiable Quantum Money with Low Quantum Computational Resources,7,10,2025,-0.1499270211728054,-0.09419922983790745
20,AndroidLens: Long-latency Evaluation with Nested Sub-targets for Android GUI Agents,0,10,2025,0.11686554637383523,-0.018636848102587644
21,Transcriptome-Conditioned Personalized De Novo Drug Generation for AML Using Metaheuristic Assembly and Target-Driven Filtering,14,10,2025,-0.09648593388702917,0.024330454817889736
22,Quadrupped-Legged Robot Movement Plan Generation using Large Language Model,5,10,2025,0.1978244303077897,-0.09066188171693247
23,Model Merging via Multi-Teacher Knowledge Distillation,3,10,2025,0.0684324199592516,0.05785823037936755
24,Post-Processing Mask-Based Table Segmentation for Structural Coordinate Extraction,9,10,2025,-0.12947720978019717,0.11333922683395826
25,Surgical Scene Segmentation using a Spike-Driven Video Transformer with Real-Time Potential,16,10,2025,-0.0721587360330768,0.062181291907384605
26,"SMART SLM: Structured Memory and Reasoning Transformer, A Small Language Model for Accurate Document Assistance",2,10,2025,0.05930950157198365,-0.08963484237967559
27,GriDiT: Factorized Grid-Based Diffusion for Efficient Long Image Sequence Generation,11,10,2025,-0.00038848318917584666,0.37866475149337264
28,ACD: Direct Conditional Control for Video Diffusion Models via Attention Supervision,16,10,2025,-0.02929832704809622,0.3877298640889769
29,AnyAD: Unified Any-Modality Anomaly Detection in Incomplete Multi-Sequence MRI,9,10,2025,-0.0198928647328043,0.14117846391765038
30,ReaSeq: Unleashing World Knowledge via Reasoning for Sequential Modeling,15,10,2025,0.34440173876581587,-0.12052062164926326
31,DreaMontage: Arbitrary Frame-Guided One-Shot Video Generation,16,10,2025,0.07575405092146294,0.3146359578489283
32,Uncertainty in security: managing cyber senescence,14,10,2025,-0.06507372734653619,-0.035948299299446665
33,CoTDeceptor:Adversarial Code Obfuscation Against CoT-Enhanced LLM Code Agents,17,10,2025,0.2437992476666461,-0.15574202128887502
34,Industrial Ouroboros: Deep Lateral Movement via Living Off the Plant,10,10,2025,-0.1937222658070752,-0.10222942720646945
35,Learning Factors in AI-Augmented Education: A Comparative Study of Middle and High School Students,18,10,2025,-0.07095401168604118,-0.20423306833687205
36,LookPlanGraph: Embodied Instruction Following Method with VLM Graph Augmentation,8,10,2025,0.011742897784010583,-0.02134397761323258
37,Improving the Convergence Rate of Ray Search Optimization for Query-Efficient Hard-Label Attacks,14,11,2025,-0.18630722495665666,0.011833706284530902
38,Assessing the Software Security Comprehension of Large Language Models,17,12,2025,0.4049791444363141,-0.20514377509965462
39,SegMo: Segment-aligned Text to 3D Human Motion Generation,4,13,2025,0.027949378416451866,0.24624307740300777
40,Casting a SPELL: Sentence Pairing Exploration for LLM Limitation-breaking,17,14,2025,0.30304338707929906,-0.0802130880426451
41,RoboCade: Gamifying Robot Data Collection,3,15,2025,-0.07645106043087245,0.0002688187085150913
42,UniTacHand: Unified Spatio-Tactile Representation for Human to Robotic Hand Skill Transfer,3,16,2025,-0.0755129688424724,-0.032883189063890816
43,MiST: Understanding the Role of Mid-Stage Scientific Training in Developing Chemical Reasoning Models,15,17,2025,0.34153762195598547,-0.11265432461999966
44,PhononBench:A Large-Scale Phonon-Based Benchmark for Dynamical Stability in Crystal Generation,17,18,2025,0.15098711504851786,0.048392522862824736
